Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
C,43,Daraufhin strickte die Oma,strickte,Kanninchen,Kleinkind,distractor,0.06666666667,0,0.2,,1.3,1.7,0.266666667,0.3900093734,7.263052512,1.36354100730387,1.57905619766098
A,44,Letztendlich suspendierte der Geschäftsführer,suspendierte,Torwart,Coach,target,0.8,0.2,,,6.2,5.2,,2.429476738,5.232656479,0.360410280525684,4.31947986339219
B,44,Letztendlich lobte der Geschäftsführer,lobte,Torwart,Coach,target,NA,NA,,2,3.1,4.5,,1.452531219,5.92540741,1.54344682022929,1.11972432892071
C,44,Letztendlich reparierte der Geschäftsführer,reparierte,Torwart,Coach,target,0,0,0.2,,2.3,1.9,0.2,3.118271351,12.59506702,0.682489298284054,9.24569825828075
A,45,Amüsiert kaufte der Referendar,kaufte,Lose,Schüler,target,1,0,,2,7,1.6,,2.830999135,11.60026646,0.910933329840191,7.78048616577871
B,45,Amüsiert verglich der Referendar,verglich,Lose,Schüler,target,NA,NA,,,5,2.8,,4.965913483,4.214417934,3.38812125334516,3.90454498573672
C,45,Amüsiert betrat der Referendar,betrat,Lose,Schüler,target,0,0,0.2666666667,,2.5,1.8,0.266666667,3.86111182,7.928708076,9.2602618932724,6.48984882119112
A,46,Dann nahm der Doktor,nahm,Spritzen,Zwillinge,distractor,0.6,0.1333333333,,2,6.8,4.9,,1.056379646,7.813704491,2.80877125263214,3.40848175436258
B,46,Dann erhielt der Doktor,erhielt,Spritzen,Zwillinge,distractor,NA,NA,,,5.2,5,,1.470541835,14.87725067,3.0101872086525,7.99853225331754
C,46,Dann bastelte der Doktor,bastelte,Spritzen,Zwillinge,distractor,0,0,0.2,,2.7,1.2,0.266666667,0.4502097517,13.70519257,1.05261645466089,6.3468487598002
A,47,Schnell zückte der Soldat,zückte,Waffe,Zivilistin,target,0.8666666667,0,,2,6.4,1.8,,2.896007538,10.39775804,0.0915148475032765,13.2752572975587
B,47,Schnell sicherte der Soldat,sicherte,Waffe,Zivilistin,target,NA,NA,,,4.3,5.3,,4.64687252,1.061689049,2.69067319243914,1.11002802883741
C,47,Schnell durchkämmte der Soldat,durchkämmte,Waffe,Zivilistin,target,0,0,0.2666666667,,2.8,2.6,0.266666667,13.24778366,7.617835432,7.58581343386322,7.68051830609329
